
(67, 2, '115', '227.0', 2175, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(68, 2, '115', '227.0', 2175, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(69, 2, '115', '227.0', 2120, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(70, 2, '115', '227.0', 2145, 2, 1, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(71, 2, '115', '227.0', 2135, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250 MBC')
(72, 2, '115', '227.0', 2140, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250 MBC')
(73, 2, '115', '227.0', 2100, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250 MBC')
(74, 2, '115', '227.0', 2110, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')

(75, 2, '115', '227.0', 2110, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250.0')
(76, 2, '115', '227.0', 2110, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250.0')
(77, 2, '115', '227.0', 2175, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250.0')
(78, 2, '115', '227.0', 2090, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250.0')
(79, 2, '115', '227.0', 2140, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250 B.RCT')
(80, 2, '115', '227.0', 1990, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250 B.RCT')
(81, 2, '115', '227.0', 2105, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '2', '3', '250.0')
(82, 2, '115', '130.0', 1210, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250.0')
(83, 2, '115', '100.0', 915, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250.0')
(84, 2, '115', '130.0', 1235, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250.0')
(85, 2, '115', '100.0', 935, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250.0')
(86, 2, '115', '130.0', 1300, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')
(87, 2, '115', '100.0', 985, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')
(88, 2, '115', '130.0', 1205, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')
(89, 2, '115', '100.0', 910, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')
(90, 2, '115', '130.0', 1240, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT-A08')
(91, 2, '115', '100.0', 945, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT-A08')
(92, 2, '115', '130.0', 1195, 2, 0, '02  DE   ENERO   2021', '1075', 'Almacen', '2', '3', '250 B.RCT')
